,amplified_input_pool_2_s41_r1_001,amplified_input_pool_3_s42_r1_001,male_blast_1_brain_brainstem_s59_r1_001,male_blast_1_brain_cerebellum_s58_r1_001,male_blast_1_brain_ctx_s57_r1_001,male_blast_1_liver_s61_r1_001,male_blast_1_lung_s60_r1_001,male_blast_2_brain_brainstem_s64_r1_001,male_blast_2_brain_cerebellum_s63_r1_001,male_blast_2_brain_ctx_s62_r1_001,male_blast_2_liver_s50_r1_001,male_blast_2_lung_s49_r1_001,male_blast_3_brain_brainstem_s53_r1_001,male_blast_3_brain_cerebellum_s52_r1_001,male_blast_3_brain_ctx_s51_r1_001,male_blast_3_liver_s55_r1_001,male_blast_3_lung_s54_r1_001,play_off_starting_pool_1_s43_r1_001,play_off_starting_pool_2_s44_r1_001,play_off_starting_pool_3_s45_r1_001,amplified_input_pool_1_s56_r1_001,male_ctrl_1_brain_brainstem_s26_r1_001,male_ctrl_1_brain_cerebellum_s25_r1_001,male_ctrl_1_brain_ctx_s40_r1_001,male_ctrl_1_liver_s28_r1_001,male_ctrl_1_lung_s27_r1_001,male_ctrl_2_brain_brainstem_s32_r1_001,male_ctrl_2_brain_cerebellum_s31_r1_001,male_ctrl_2_brain_ctx_s30_r1_001,male_ctrl_2_liver_s18_r1_001,male_ctrl_2_lung_s17_r1_001,male_ctrl_3_brain_brainstem_s22_r1_001,male_ctrl_3_brain_cerebellum_s21_r1_001,male_ctrl_3_brain_ctx_s20_r1_001,male_ctrl_3_liver_s24_r1_001,male_ctrl_3_lung_s23_r1_001,female_blast_2_brain_brainstem_s48_r1_001,female_blast_2_brain_cerebellum_s47_r1_001,female_blast_2_brain_ctx_s46_r1_001,female_blast_2_liver_s34_r1_001,female_blast_2_lung_s33_r1_001,female_blast_3_brain_brainstem_s37_r1_001,female_blast_3_brain_cerebellum_s36_r1_001,female_blast_3_brain_ctx_s35_r1_001,female_blast_3_liver_s39_r1_001,female_blast_3_lung_s38_r1_001,female_ctrl_2_brain_brainstem_s1_r1_001,female_ctrl_2_brain_cerebellum_s16_r1_001,female_ctrl_2_brain_ctx_s15_r1_001,female_ctrl_2_liver_s3_r1_001,female_ctrl_2_lung_s2_r1_001,female_ctrl_3_brain_brainstem_s6_r1_001,female_ctrl_3_brain_cerebellum_s5_r1_001,female_ctrl_3_brain_ctx_s4_r1_001,female_ctrl_3_liver_s8_r1_001,female_ctrl_3_lung_s7_r1_001,amp_speed_ratio,brand_name
48,4976,4788,1898,1327,1317,6427,278,1289,1450,726,5814,895,1843,1407,1391,6994,309,11200,11540,11472,5371,1481,2062,1436,7391,6052,697,1205,815,5566,340,61,123,178,460,4659,2530,2441,3024,4706,404,1613,951,1633,473,258,667,268,483,4088,150,507,252,411,3432,98,0,12-mer-1.3
49,4934,4954,1902,1333,1065,4634,271,1203,678,1089,4742,1477,1422,1813,1887,5796,783,6030,6224,6168,4838,1613,2000,2492,5743,5144,490,1198,570,5039,651,192,198,296,833,3209,1523,1858,1424,4767,618,1127,1040,1656,1034,418,1602,404,659,4126,231,385,356,475,4240,183,1,CRT
50,4271,4355,1996,1712,1075,5618,309,1201,718,1253,5658,1037,1208,1555,1549,6389,663,8999,9074,9118,4376,1203,1211,1437,6467,5459,913,888,1265,5247,827,165,202,817,584,4661,1769,1382,930,4828,426,728,1054,1110,570,272,1171,1487,691,4384,209,391,333,688,3595,160,0,GLA
51,4260,4229,4904,3536,3786,5528,560,3297,3518,1228,5221,2458,2249,3760,3887,5797,852,10828,11029,11117,4120,2970,2693,2971,5644,5330,909,1290,763,5231,704,137,384,402,936,6175,2309,2187,3199,4651,761,1296,1172,2469,1134,501,507,494,555,4181,318,551,498,567,3766,234,0,GYR
52,4114,3952,3664,1970,1778,5924,449,561,1072,389,5231,1019,853,1460,1204,5825,930,8132,8490,8597,4087,2539,2931,2635,5677,5055,484,681,472,5131,1093,282,1223,594,943,2573,1365,1636,1288,4494,659,1156,768,1857,670,474,793,277,629,3558,174,613,426,585,3088,201,0,SLS
53,4083,3765,2308,2727,2326,6197,699,2496,1720,936,6009,3226,3122,3864,2557,6288,1425,5926,6114,6101,3874,2604,4163,4271,6981,6254,2136,1524,1950,7004,3608,1127,465,759,1492,4292,2170,3486,1603,6498,1026,2301,1307,2543,1862,853,2487,781,1412,5957,480,2838,883,3995,6177,788,1,Pep-3
54,4014,4209,3553,2450,2530,6005,415,1649,2090,1072,4816,1795,1949,2421,3237,5827,780,10128,10406,10447,4521,2038,1732,1696,5324,5593,779,749,759,4122,669,457,399,385,903,3220,2313,2295,2264,3213,625,1357,1312,1848,1046,329,606,330,665,2494,220,497,373,413,2025,99,0,SP1
55,3662,3764,3535,2685,2721,5297,363,1946,1023,1050,4371,1433,1183,2359,2740,4775,673,10340,10446,10213,3932,1710,1514,1510,4675,5434,353,573,595,3401,660,284,258,158,744,3728,1679,1298,1901,2659,462,466,804,1508,942,283,328,517,433,2117,208,271,330,358,1840,101,0,M2pep
56,2842,2871,1402,1205,721,4935,9599,1479,434,753,5142,13992,1035,847,1389,4847,28903,6066,6227,6334,2820,1681,1405,1053,4982,4219,1613,1155,1620,4808,1478,584,1689,407,5627,3796,1172,1321,1059,4870,2953,1210,904,1500,8786,9934,2279,1749,985,3975,7081,712,11119,745,4640,2267,0,tLyp-1
57,2641,2898,2153,1437,1571,5277,340,1795,1776,1100,4375,1296,1293,2066,2373,5781,501,9831,9941,9879,3114,1351,932,1242,4894,5437,235,511,560,3407,517,148,205,208,675,3150,1510,1371,1896,2489,391,549,777,1366,786,268,213,256,326,1965,180,414,272,333,1598,73,0,TfR-T12
58,2177,2400,2977,3344,3104,1628,321,1117,1315,782,1645,1471,1732,3322,3275,1643,647,2246,2287,2338,2329,1970,1863,1872,1652,1528,780,1287,1208,1682,1905,382,513,471,550,1688,1781,2177,2147,1488,430,951,1123,1717,717,236,830,1383,1172,1366,172,1429,342,1898,1510,181,1,RP-182
59,1686,1790,1700,1065,1370,2922,162,1137,1540,579,2506,671,618,1000,1393,3023,288,7223,7237,7230,1873,550,609,818,2943,3229,194,414,299,1897,269,84,201,127,364,2088,800,614,1124,1435,229,306,475,907,425,138,177,581,120,1162,115,358,157,118,962,51,0,LRPep2
60,800,824,502,507,530,942,130,515,263,245,893,628,479,905,733,1035,320,804,794,806,836,685,449,646,1022,1263,306,346,272,1213,750,107,270,135,275,1200,705,737,375,951,186,430,262,851,368,129,1761,512,376,1095,115,440,167,537,965,102,1,L57
